set	sample_id	total_ARG_hits	matched_to_genomad	chromosome_like_ARG_hits	plasmid_like_ARG_hits	virus_like_ARG_hits	mobile_context_ARG_hits	unclassified_ARG_hits	percent_ARG_hits_plasmid_like	percent_ARG_hits_mobile_context	loose_ARG_hits	strict_ARG_hits	perfect_ARG_hits
RM2016_clean21_plus_USA_chicago_11	ERR1713348	80	7	73	7	0	7	0	8.75	8.75	0	69	11
RM2016_clean21_plus_USA_chicago_11	ERR1713358	242	16	226	16	0	16	0	6.6115702479338845	6.6115702479338845	0	223	19
RM2016_clean21_plus_USA_chicago_11	ERR1713367	214	23	191	23	0	23	0	10.74766355140187	10.74766355140187	0	189	25
RM2016_clean21_plus_USA_chicago_11	ERR1713372	235	32	203	29	3	32	0	12.340425531914894	13.617021276595745	0	212	23
RM2016_clean21_plus_USA_chicago_11	ERR1713399	78	6	72	6	0	6	0	7.6923076923076925	7.6923076923076925	0	72	6
RM2016_clean21_plus_USA_chicago_11	ERR1713409	202	23	179	22	1	23	0	10.891089108910892	11.386138613861386	0	178	24
RM2016_clean21_plus_USA_chicago_11	ERR1713410	241	39	202	37	2	39	0	15.352697095435685	16.182572614107883	0	209	32
RM2016_clean21_plus_USA_chicago_11	ERR1725966	60	3	57	3	0	3	0	5.0	5.0	0	52	8
RM2016_clean21_plus_USA_chicago_11	ERR1725973	24	3	21	3	0	3	0	12.5	12.5	0	20	4
RM2016_clean21_plus_USA_chicago_11	ERR1725975	30	5	25	5	0	5	0	16.666666666666668	16.666666666666668	0	27	3
RM2016_clean21_plus_USA_chicago_11	ERR1725976	51	12	39	12	0	12	0	23.529411764705884	23.529411764705884	0	41	10
