sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713348	DEU	Germany	2016-02-08	ERR1713348	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_2.fastq.gz	e062b92102c36b96e3c3dd1dae9f4c82	a22b132794a491c1cf94db4126a759d5	903426776	969877104	NO
ERR1713358	GHA	Ghana	2016-01-30	ERR1713358	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_2.fastq.gz	f89cc7829c2db415025a6eb410cefd7a	221eb99093f0e5af694cceb1c66f60c2	4220335466	4732154796	NO
ERR1713367	ITA	Italy	2016-02-02	ERR1713367	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_2.fastq.gz	60f297236aa9992e47e940dcd5cf4065	a42e1cb8435c8fc76285cf6ce3be7e41	5149375632	5862155847	NO
ERR1713372	LUX	Luxembourg	2016-02-01	ERR1713372	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_2.fastq.gz	468f748f2446a05e877476f22a08aba2	34ee5d79c166f6b8521a903c3b610ba2	3908899736	4337542734	NO
ERR1713409	ZAF	South Africa	2016-02-04	ERR1713409	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_2.fastq.gz	a54e484fe0d4eea22fc509ab2810fe75	abcfc9a7c73175b0822645c2ce8f8522	1820687917	1988438864	NO
ERR1713410	ZMB	Zambia	2016-01-25	ERR1713410	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_2.fastq.gz	f0c864bef18d24778fb2afd120462ac2	82769d76f35dc40dcb8702abd311a7cd	2323339684	2592854329	NO
ERR1725966	CZE	Czech Republic	2016-02-01	ERR1725966	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725966/ERR1725966_2.fastq.gz	043b7aba7728758f31066d4bf65a4a6b	1894bf82b7bff8e97c3ebe6ed0d326f7	920718668	1091002321	NO
ERR1725973	FIN	Finland	2016-01-26	ERR1725973	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725973/ERR1725973_2.fastq.gz	15c777eb737bae3b7652b63366fb9413	2d8081f24456b800e45d53d3d68f95b2	333253858	393554569	NO
ERR1725975	GEO	Georgia	2016-01-25	ERR1725975	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/005/ERR1725975/ERR1725975_2.fastq.gz	52e9b6f819aaa3ed1c6c8ea2bd095e28	66b68b1ff25f8427f6c8194b0e53e72a	667372118	766008992	NO
ERR1725976	HRV	Croatia	2016-02-08	ERR1725976	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/006/ERR1725976/ERR1725976_2.fastq.gz	5a72b42f285ebbb9070550e13bc259f1	ec7684184ea317bb19f9824c1bb6594b	673003412	741185536	NO
