sample_id	iso3	country	collection_date	run_accession	fastq_1	fastq_2	md5_1	md5_2	bytes_1	bytes_2	already_processed
ERR1713348	DEU	Germany	2016-02-08	ERR1713348	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713348/ERR1713348_2.fastq.gz	e062b92102c36b96e3c3dd1dae9f4c82	a22b132794a491c1cf94db4126a759d5	903426776	969877104	NO
ERR1713349	DNK	Denmark	2016-02-03	ERR1713349	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713349/ERR1713349_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713349/ERR1713349_2.fastq.gz	20a828e94c492fa737b018dd100747fc	5f7631359dac5425e7aaf36950e2b500	5043560841	5157236674	NO
ERR1713358	GHA	Ghana	2016-01-30	ERR1713358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/008/ERR1713358/ERR1713358_2.fastq.gz	f89cc7829c2db415025a6eb410cefd7a	221eb99093f0e5af694cceb1c66f60c2	4220335466	4732154796	NO
ERR1713367	ITA	Italy	2016-02-02	ERR1713367	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/007/ERR1713367/ERR1713367_2.fastq.gz	60f297236aa9992e47e940dcd5cf4065	a42e1cb8435c8fc76285cf6ce3be7e41	5149375632	5862155847	NO
ERR1713372	LUX	Luxembourg	2016-02-01	ERR1713372	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/002/ERR1713372/ERR1713372_2.fastq.gz	468f748f2446a05e877476f22a08aba2	34ee5d79c166f6b8521a903c3b610ba2	3908899736	4337542734	NO
ERR1713409	ZAF	South Africa	2016-02-04	ERR1713409	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/009/ERR1713409/ERR1713409_2.fastq.gz	a54e484fe0d4eea22fc509ab2810fe75	abcfc9a7c73175b0822645c2ce8f8522	1820687917	1988438864	NO
ERR1713410	ZMB	Zambia	2016-01-25	ERR1713410	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR171/000/ERR1713410/ERR1713410_2.fastq.gz	f0c864bef18d24778fb2afd120462ac2	82769d76f35dc40dcb8702abd311a7cd	2323339684	2592854329	NO
ERR1725941	AUS	Australia	2016-02-08	ERR1725941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725941/ERR1725941_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/001/ERR1725941/ERR1725941_2.fastq.gz	e59834e99d5da74954a198fbe47eefb7	a9b84f1cc0411abe8654467c44fba568	329426393	360996587	NO
ERR1725942	AUS	Australia	2016-02-08	ERR1725942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725942/ERR1725942_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/002/ERR1725942/ERR1725942_2.fastq.gz	94e2352d01322f8aac82f7e890245f9a	fffa7594e7e2f0f2b13e3f23124b79c8	3223538020	3611682726	NO
ERR1725943	AUS	Australia	2016-02-08	ERR1725943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725943/ERR1725943_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR172/003/ERR1725943/ERR1725943_2.fastq.gz	a7c6faa89b8f5dd7e229c9800c4d0d3a	3f3270222682749dbc605dbe46c8083e	140938059	161580099	NO
